id,name,url,descr,logo
1,Soma – Groove Salad,http://ice2.somafm.com/groovesalad-256-mp3,A nicely chilled plate of ambient/downtempo beats and grooves.,https://somafm.com/img3/groovesalad-400.png
2,Soma - Lush,http://ice6.somafm.com/lush-128-mp3,Sensuous and mellow vocals mostly female with an electronic influence.,https://somafm.com/img3/lush-400.jpg
3,Soma - Beat Blender,http://ice6.somafm.com/beatblender-128-mp3,A late night blend of deep-house and downtempo chill.,https://somafm.com/img3/beatblender-400.png
4,Soma - Heavyweight Reggae,http://ice3.somafm.com/reggae-256-mp3,Reggae Ska Rocksteady classic and deep tracks.,https://somafm.com/img3/reggae400.png
5,Soma - Underground 80's,http://ice4.somafm.com/u80s-256-mp3,Early 80s UK Synthpop and a bit of New Wave.,https://somafm.com/img3/u80s-400.png
6,Soma – Bagel Radio,http://ice2.somafm.com/bagel-128-mp3, What alternative rock radio should sound like.,https://somafm.com/img3/bagel-400.png
7,Soma - Indie Pop Rocks,http://ice2.somafm.com/indiepop-128-mp3,New and classic favorite indie pop tracks.,https://somafm.com/img3/indiepop-400.png
8,Radio Swiss Jazz,https://stream.srg-ssr.ch/m/rsj/mp3_128, Basel's Laid Back Jazz,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Radio_Swiss_Jazz_Logo_2018.svg/768px-Radio_Swiss_Jazz_Logo_2018.svg.png
9,ChillTrax,http://server1.chilltrax.com:9000/,Ambient Chill,https://www.chilltrax.com/images/specialty/default-album-cover.png
10,Lounge-Radio,http://nl1.streamhosting.ch/,Switzerland Chill,https://lounge-radio.com/images/lounge-radio.com.png
11,Soma - Illinois Street Lounge,http://ice4.somafm.com/illstreet-128-mp3,Classic bachelor pad playful exotica and vintage music of tomorrow.,https://somafm.com/img3/illstreet-400.jpg
12,Scratch Radio,http://www.scratchradio.ca:8000/,Canada's finest Reggae,https://cdn-radiotime-logos.tunein.com/s2575g.png
13,Soma - Christmas Lounge,http://ice4.somafm.com/christmas-256-mp3,Where Christmas Classics get old and old real fast,https://somafm.com/img3/christmas-400.jpg
14,Soma – 7 inch Soul,http://ice2.somafm.com/7soul-128-mp3,Vintage soul tracks from the original 45 RPM vinyl. ,https://somafm.com/img3/7soul-400.jpg
15,Soma – Secret Agent,http://ice4.somafm.com/secretagent-128-mp3,Tunes for spies - Tunes for Pi’s,https://somafm.com/img3/secretagent-400.jpg
16,Soma – Fluid,http://ice4.somafm.com/fluid-128-mp3,Drown in the electronic sound of instrumental hiphop future soul and liquid trap,https://somafm.com/img3/fluid-400.jpg
17,Soma – Groove Salad Classic,http://ice2.somafm.com/gsclassic-128-mp3,Salad Drowned and no longer fresh in downtempo beats,https://somafm.com/img3/gsclassic400.jpg
18,Swiss Classical,http://stream.srg-ssr.ch/m/rsc_de/mp3_128,who knows and who cares,https://www.radioswissclassic.ch/social-media/rsc-web.png
19,Big Bob Rock,http://streams.radiobob.de/bob-live/mp3-192/vtuner/,i guess if you're gonna rock deutchland rach!,https://www.radiobob.de/_nuxt/icons/icon_512.cUMc34Nz2jc.png
20,Chill,http://media-ice.musicradio.com/SmoothChill,Smooth Chill from a creepy lady in the UK,https://cdn-profiles.tunein.com/s53084/images/logog.jpg?t=1
